T0;T1;T2;T3;Value;Jobs;Heartbeat;Cluster;Name
1617110366709;1617110368677;1617110368751;1617110369043;0;92;25;node1:0;node3
1617110366711;1617110368804;1617110369069;1617110369099;1;93;22;node1:0;node3
1617110366713;1617110369119;1617110369147;1617110369179;2;94;30;node1:0;node3
1617110366715;1617110369160;1617110369182;1617110369196;3;95;47;node1:0;node3
1617110366717;1617110369184;1617110369216;1617110369230;4;95;36;node1:0;node3
1617110366720;1617110369226;1617110369247;1617110369255;5;95;33;node1:0;node3
1617110366722;1617110369248;1617110369281;1617110369300;6;95;31;node1:0;node3
1617110366723;1617110369282;1617110369308;1617110369317;7;95;35;node1:0;node3
1617110366725;1617110369333;1617110369354;1617110369359;8;95;27;node1:0;node3
1617110366727;1617110369355;1617110369401;1617110369414;9;95;46;node1:0;node3
1617110366730;1617110369407;1617110369447;1617110369466;10;95;46;node1:0;node3
1617110366732;1617110369455;1617110369509;1617110369522;11;95;46;node1:0;node3
1617110366734;1617110369511;1617110369582;1617110369587;12;95;62;node1:0;node3
1617110366735;1617110369584;1617110369626;1617110369631;13;95;74;node1:0;node3
1617110366737;1617110369628;1617110369699;1617110369701;14;95;44;node1:0;node3
1617110366741;1617110369725;1617110369755;1617110369761;15;95;24;node1:0;node3
1617110366743;1617110369759;1617110369797;1617110369813;16;96;31;node1:0;node3
1617110366747;1617110369809;1617110369837;1617110369856;17;96;43;node1:0;node3
1617110366748;1617110369842;1617110369890;1617110369900;18;96;41;node1:0;node3
1617110366751;1617110369892;1617110369931;1617110369943;19;96;51;node1:0;node3
1617110366753;1617110369940;1617110369968;1617110369970;20;96;42;node1:0;node3
1617110366754;1617110369970;1617110370008;1617110370013;21;96;37;node1:0;node3
1617110366756;1617110370013;1617110370040;1617110370042;22;96;39;node1:0;node3
1617110366758;1617110370046;1617110370070;1617110370077;23;96;32;node1:0;node3
1617110366759;1617110370073;1617110370114;1617110370130;24;96;30;node1:0;node3
1617110366762;1617110370117;1617110370161;1617110370165;25;96;44;node1:0;node3
1617110366764;1617110370166;1617110370202;1617110370214;26;96;47;node1:0;node3
1617110366765;1617110370209;1617110370251;1617110370260;27;96;41;node1:0;node3
1617110366767;1617110370257;1617110370287;1617110370305;28;96;49;node1:0;node3
1617110366768;1617110370290;1617110370314;1617110370331;29;96;36;node1:0;node3
1617110366770;1617110370315;1617110370348;1617110370367;30;96;36;node1:0;node3
1617110366773;1617110370374;1617110370394;1617110370401;31;96;61;node1:0;node3
1617110366775;1617110370395;1617110370442;1617110370444;32;95;46;node1:0;node3
1617110366776;1617110370443;1617110370490;1617110370493;33;95;49;node1:0;node3
1617110366778;1617110370491;1617110370539;1617110370544;34;95;48;node1:0;node3
1617110366781;1617110370541;1617110370586;1617110370591;35;95;49;node1:0;node3
1617110366783;1617110370590;1617110370631;1617110370639;36;95;46;node1:0;node3
1617110366784;1617110370642;1617110370679;1617110370685;37;95;46;node1:0;node3
1617110366786;1617110370680;1617110370717;1617110370731;38;95;47;node1:0;node3
1617110366787;1617110370726;1617110370767;1617110370779;39;95;39;node1:0;node3
1617110366789;1617110370775;1617110370795;1617110370820;40;95;50;node1:0;node3
1617110366793;1617110370802;1617110370818;1617110370834;41;95;27;node1:0;node3
1617110366794;1617110370821;1617110370858;1617110370859;42;95;24;node1:0;node3
1617110366796;1617110370859;1617110370894;1617110370904;43;95;39;node1:0;node3
1617110366797;1617110370895;1617110370928;1617110370930;44;95;36;node1:0;node3
1617110366798;1617110370929;1617110370974;1617110370983;45;95;34;node1:0;node3
1617110366800;1617110370975;1617110371014;1617110371017;46;95;46;node1:0;node3
1617110366802;1617110371015;1617110371065;1617110371079;47;95;41;node1:0;node3
1617110366804;1617110371066;1617110371126;1617110371134;48;95;50;node1:0;node3
1617110366805;1617110371127;1617110371170;1617110371174;49;95;61;node1:0;node3
1617110366806;1617110371171;1617110371220;1617110371232;50;95;44;node1:0;node3
1617110366808;1617110371227;1617110371265;1617110371280;51;95;50;node1:0;node3
1617110366811;1617110371271;1617110371313;1617110371324;52;95;46;node1:0;node3
1617110366813;1617110371320;1617110371406;1617110371419;53;95;48;node1:0;node3
1617110366814;1617110371411;1617110371454;1617110371467;54;95;93;node1:0;node3
1617110366816;1617110371459;1617110371501;1617110371504;55;95;47;node1:0;node3
1617110366817;1617110371511;1617110371539;1617110371550;56;95;50;node1:0;node3
1617110366819;1617110371544;1617110371571;1617110371584;57;95;37;node1:0;node3
1617110366822;1617110371575;1617110371612;1617110371623;58;95;32;node1:0;node3
1617110366823;1617110371617;1617110371652;1617110371659;59;95;40;node1:0;node3
1617110366825;1617110371655;1617110371682;1617110371684;60;95;39;node1:0;node3
1617110366826;1617110371686;1617110371712;1617110371730;61;95;31;node1:0;node3
1617110366827;1617110371713;1617110371734;1617110371745;62;95;31;node1:0;node3
1617110366829;1617110371738;1617110371765;1617110371777;63;95;51;node1:0;node3
1617110366831;1617110371766;1617110371781;1617110371793;64;95;51;node1:0;node3
1617110366833;1617110371782;1617110371810;1617110371812;65;94;47;node1:0;node3
1617110366834;1617110371812;1617110371847;1617110371854;66;93;30;node1:0;node3
1617110366836;1617110371850;1617110371885;1617110371891;67;93;36;node1:0;node3
1617110366837;1617110371886;1617110371924;1617110371929;68;93;39;node1:0;node3
1617110366838;1617110371928;1617110371951;1617110371953;69;93;38;node1:0;node3
1617110366841;1617110371955;1617110371984;1617110371992;70;93;28;node1:0;node3
1617110366843;1617110371986;1617110372014;1617110372018;71;93;32;node1:0;node3
1617110366844;1617110372016;1617110372040;1617110372044;72;93;30;node1:0;node3
1617110366846;1617110372041;1617110372053;1617110372059;73;93;30;node1:0;node3
1617110366848;1617110372055;1617110372083;1617110372090;74;93;39;node1:0;node3
1617110366849;1617110372085;1617110372113;1617110372115;75;92;32;node1:0;node3
1617110366852;1617110372116;1617110372142;1617110372147;76;92;29;node1:0;node3
1617110366853;1617110372143;1617110372171;1617110372178;77;92;29;node1:0;node3
1617110366855;1617110372172;1617110372185;1617110372194;78;92;29;node1:0;node3
1617110366856;1617110372187;1617110372222;1617110372228;79;92;42;node1:0;node3
1617110366858;1617110372223;1617110372257;1617110372264;80;91;37;node1:0;node3
1617110366859;1617110372257;1617110372292;1617110372294;81;91;35;node1:0;node3
1617110366862;1617110372293;1617110372325;1617110372336;82;91;35;node1:0;node3
1617110366863;1617110372327;1617110372353;1617110372354;83;91;33;node1:0;node3
1617110366865;1617110372354;1617110372381;1617110372382;84;91;28;node1:0;node3
1617110366866;1617110372381;1617110372421;1617110372422;85;91;28;node1:0;node3
1617110366868;1617110372422;1617110372455;1617110372456;86;91;41;node1:0;node3
1617110366869;1617110372456;1617110372481;1617110372483;87;91;33;node1:0;node3
1617110366872;1617110372482;1617110372511;1617110372512;88;91;27;node1:0;node3
1617110366873;1617110372512;1617110372543;1617110372544;89;91;29;node1:0;node3
1617110366875;1617110372544;1617110372580;1617110372581;90;91;33;node1:0;node3
1617110366876;1617110372581;1617110372607;1617110372608;91;91;36;node1:0;node3
1617110366878;1617110372608;1617110372639;1617110372641;92;91;28;node1:0;node3
