T0;T1;T2;T3;Value;Jobs;Heartbeat;Cluster;Name
1617112197090;1617112199015;1617112199097;1617112199364;1;57;23;node1:0,node2:58;node3
1617112197088;1617112199022;1617112199160;1617112199393;0;58;18;node1:0,node3:57;node2
1617112197092;1617112199426;1617112199449;1617112199454;3;63;21;node1:0,node2:64;node3
1617112197092;1617112199424;1617112199448;1617112199456;2;64;20;node1:0,node3:63;node2
1617112197093;1617112199456;1617112199476;1617112199492;4;64;40;node1:0,node3:64;node2
1617112197095;1617112199481;1617112199502;1617112199504;6;64;28;node1:0,node3:63;node2
1617112197094;1617112199470;1617112199505;1617112199528;5;63;18;node1:0,node2:64;node3
1617112197099;1617112199503;1617112199530;1617112199531;8;64;25;node1:0,node3:63;node2
1617112197096;1617112199514;1617112199530;1617112199546;7;63;37;node1:0,node2:64;node3
1617112197101;1617112199531;1617112199556;1617112199567;10;63;28;node1:0,node3:63;node2
1617112197100;1617112199541;1617112199565;1617112199587;9;63;26;node1:0,node2:63;node3
1617112197102;1617112199566;1617112199614;1617112199617;11;62;34;node1:0,node2:63;node3
1617112197103;1617112199558;1617112199578;1617112199634;12;63;26;node1:0,node3:62;node2
1617112197104;1617112199616;1617112199643;1617112199646;13;62;50;node1:0,node2:62;node3
1617112197105;1617112199582;1617112199596;1617112199656;14;63;26;node1:0,node3:62;node2
1617112197107;1617112199600;1617112199627;1617112199671;16;62;40;node1:0,node3:62;node2
1617112197106;1617112199646;1617112199666;1617112199693;15;61;29;node1:0,node2:61;node3
1617112197111;1617112199628;1617112199676;1617112199700;18;62;40;node1:0,node3:62;node2
1617112197113;1617112199689;1617112199713;1617112199715;20;61;81;node1:0,node3:61;node2
1617112197110;1617112199685;1617112199728;1617112199741;17;61;29;node1:0,node2:61;node3
1617112197115;1617112199716;1617112199756;1617112199768;22;60;37;node1:0,node3:60;node2
1617112197112;1617112199734;1617112199776;1617112199797;19;60;84;node1:0,node2:60;node3
1617112197117;1617112199760;1617112199784;1617112199817;24;59;43;node1:0,node3:59;node2
1617112197114;1617112199781;1617112199811;1617112199829;21;59;48;node1:0,node2:59;node3
1617112197121;1617112199806;1617112199850;1617112199866;26;59;40;node1:0,node3:58;node2
1617112197116;1617112199816;1617112199858;1617112199880;23;58;35;node1:0,node2:59;node3
1617112197124;1617112199858;1617112199896;1617112199902;28;58;53;node1:0,node3:58;node2
1617112197120;1617112199859;1617112199893;1617112199913;25;58;47;node1:0,node2:58;node3
1617112197126;1617112199898;1617112199928;1617112199931;30;58;47;node1:0,node3:57;node2
1617112197122;1617112199897;1617112199925;1617112199935;27;57;36;node1:0,node2:58;node3
1617112197130;1617112199933;1617112199972;1617112199978;32;57;32;node1:0,node3:57;node2
1617112197125;1617112199929;1617112199963;1617112200001;29;57;31;node1:0,node2:57;node3
1617112197132;1617112199977;1617112200015;1617112200021;34;57;43;node1:0,node3:56;node2
1617112197127;1617112199968;1617112200004;1617112200023;31;56;38;node1:0,node2:57;node3
1617112197131;1617112200007;1617112200038;1617112200058;33;56;42;node1:0,node2:56;node3
1617112197134;1617112200038;1617112200072;1617112200091;36;56;44;node1:0,node3:56;node2
1617112197133;1617112200045;1617112200079;1617112200092;35;55;33;node1:0,node2:56;node3
1617112197136;1617112200086;1617112200112;1617112200118;38;56;57;node1:0,node3:55;node2
1617112197140;1617112200115;1617112200145;1617112200147;40;55;39;node1:0,node3:55;node2
1617112197135;1617112200083;1617112200120;1617112200164;37;55;33;node1:0,node2:56;node3
1617112197138;1617112200120;1617112200146;1617112200203;39;55;82;node1:0,node2:55;node3
1617112197142;1617112200147;1617112200194;1617112200204;42;55;39;node1:0,node3:55;node2
1617112197141;1617112200146;1617112200176;1617112200227;41;54;26;node1:0,node2:54;node3
1617112197143;1617112200181;1617112200211;1617112200258;43;54;26;node1:0,node2:54;node3
1617112197145;1617112200227;1617112200249;1617112200280;45;53;66;node1:0,node2:53;node3
1617112197144;1617112200198;1617112200260;1617112200285;44;54;83;node1:0,node3:54;node2
1617112197148;1617112200254;1617112200275;1617112200299;47;53;66;node1:0,node2:53;node3
1617112197146;1617112200276;1617112200320;1617112200324;46;53;65;node1:0,node3:53;node2
1617112197152;1617112200288;1617112200326;1617112200333;49;52;66;node1:0,node2:52;node3
1617112197151;1617112200324;1617112200358;1617112200368;48;52;61;node1:0,node3:52;node2
1617112197153;1617112200358;1617112200385;1617112200387;50;51;37;node1:0,node3:51;node2
1617112197154;1617112200330;1617112200377;1617112200396;51;52;66;node1:0,node2:52;node3
1617112197155;1617112200386;1617112200421;1617112200435;52;51;37;node1:0,node3:51;node2
1617112197156;1617112200381;1617112200427;1617112200443;53;51;100;node1:0,node2:51;node3
1617112197157;1617112200426;1617112200465;1617112200477;54;50;63;node1:0,node3:50;node2
1617112197158;1617112200428;1617112200465;1617112200483;55;50;49;node1:0,node2:50;node3
1617112197162;1617112200481;1617112200512;1617112200527;57;48;20;node1:0,node2:49;node3
1617112197161;1617112200467;1617112200505;1617112200548;56;49;45;node1:0,node3:49;node2
1617112197166;1617112200519;1617112200555;1617112200558;59;48;20;node1:0,node2:49;node3
1617112197163;1617112200538;1617112200586;1617112200598;58;49;20;node1:0,node3:48;node2
1617112197168;1617112200557;1617112200603;1617112200626;61;48;71;node1:0,node2:49;node3
1617112197167;1617112200589;1617112200623;1617112200645;60;49;60;node1:0,node3:47;node2
1617112197171;1617112200624;1617112200660;1617112200664;62;48;37;node1:0,node3:47;node2
1617112197172;1617112200606;1617112200652;1617112200667;63;47;47;node1:0,node2:49;node3
1617112197173;1617112200665;1617112200683;1617112200692;64;48;37;node1:0,node3:47;node2
1617112197174;1617112200654;1617112200699;1617112200715;65;47;49;node1:0,node2:48;node3
1617112197175;1617112200685;1617112200706;1617112200718;66;47;60;node1:0,node3:47;node2
1617112197177;1617112200710;1617112200728;1617112200743;68;47;60;node1:0,node3:47;node2
1617112197181;1617112200728;1617112200752;1617112200760;70;46;45;node1:0,node3:46;node2
1617112197176;1617112200704;1617112200742;1617112200765;67;47;48;node1:0,node2:47;node3
1617112197178;1617112200749;1617112200779;1617112200782;69;46;42;node1:0,node2:46;node3
1617112197182;1617112200780;1617112200816;1617112200834;71;45;37;node1:0,node2:45;node3
1617112197183;1617112200758;1617112200819;1617112200835;72;46;45;node1:0,node3:46;node2
1617112197185;1617112200827;1617112200861;1617112200863;74;45;92;node1:0,node3:45;node2
1617112197184;1617112200819;1617112200856;1617112200877;73;45;37;node1:0,node2:45;node3
1617112197186;1617112200856;1617112200889;1617112200898;75;44;77;node1:0,node2:44;node3
