val,node,T0,T1,T2,T3,T4,T5
1,TcpNode0,1617741272243,1617741272245,1617741272264,1617741272725,1617741272791,1617741272965
2,TcpNode2,1617741272261,1617741272261,1617741272271,1617741272830,1617741272951,1617741272966
3,TcpNode0,1617741272271,1617741272271,1617741272757,1617741272819,1617741272821,1617741273007
5,TcpNode0,1617741272291,1617741272291,1617741272761,1617741272823,1617741272825,1617741273008
7,TcpNode0,1617741272311,1617741272311,1617741272764,1617741272826,1617741272828,1617741273008
2,TcpNode2,1617741272261,1617741272261,1617741272271,1617741272965,1617741272967,1617741273009
4,TcpNode2,1617741272281,1617741272281,1617741272781,1617741272968,1617741272969,1617741273010
6,TcpNode2,1617741272301,1617741272301,1617741272874,1617741272970,1617741272971,1617741273010
9,TcpNode0,1617741272331,1617741272331,1617741272778,1617741272829,1617741272831,1617741273011
11,TcpNode0,1617741272351,1617741272351,1617741272780,1617741272832,1617741272833,1617741273012
13,TcpNode0,1617741272371,1617741272371,1617741272783,1617741272834,1617741272836,1617741273012
15,TcpNode0,1617741272391,1617741272391,1617741272785,1617741272839,1617741272841,1617741273013
17,TcpNode0,1617741272411,1617741272411,1617741272787,1617741272842,1617741272844,1617741273013
8,TcpNode2,1617741272321,1617741272321,1617741272877,1617741272972,1617741272975,1617741273014
10,TcpNode2,1617741272341,1617741272341,1617741272888,1617741272976,1617741272978,1617741273014
12,TcpNode2,1617741272361,1617741272361,1617741272894,1617741272979,1617741272981,1617741273015
14,TcpNode2,1617741272381,1617741272381,1617741272896,1617741272981,1617741272983,1617741273016
16,TcpNode2,1617741272401,1617741272401,1617741272898,1617741272984,1617741272992,1617741273017
18,TcpNode2,1617741272421,1617741272421,1617741272900,1617741272993,1617741272994,1617741273017
20,TcpNode2,1617741272441,1617741272441,1617741272902,1617741272995,1617741272997,1617741273018
19,TcpNode0,1617741272431,1617741272431,1617741273003,1617741273005,1617741273013,1617741273019
26,TcpNode2,1617741272501,1617741272501,1617741272911,1617741273003,1617741273014,1617741273021
22,TcpNode2,1617741272461,1617741272461,1617741272907,1617741272997,1617741272999,1617741273022
24,TcpNode2,1617741272481,1617741272481,1617741272909,1617741273000,1617741273002,1617741273023
28,TcpNode2,1617741272521,1617741272521,1617741272913,1617741273016,1617741273018,1617741273023
21,TcpNode0,1617741272451,1617741272451,1617741273014,1617741273017,1617741273022,1617741273024
30,TcpNode2,1617741272541,1617741272541,1617741272915,1617741273020,1617741273022,1617741273025
32,TcpNode2,1617741272561,1617741272561,1617741272919,1617741273023,1617741273025,1617741273026
34,TcpNode2,1617741272581,1617741272581,1617741272921,1617741273027,1617741273028,1617741273028
23,TcpNode0,1617741272471,1617741272471,1617741273020,1617741273024,1617741273027,1617741273031
36,TcpNode2,1617741272601,1617741272601,1617741272923,1617741273029,1617741273032,1617741273032
25,TcpNode0,1617741272491,1617741272491,1617741273025,1617741273029,1617741273032,1617741273037
38,TcpNode2,1617741272621,1617741272621,1617741272925,1617741273034,1617741273056,1617741273057
27,TcpNode0,1617741272511,1617741272511,1617741273032,1617741273038,1617741273055,1617741273060
40,TcpNode2,1617741272641,1617741272641,1617741272926,1617741273058,1617741273061,1617741273062
42,TcpNode2,1617741272661,1617741272661,1617741272928,1617741273064,1617741273066,1617741273066
31,TcpNode0,1617741272551,1617741272551,1617741273041,1617741273063,1617741273065,1617741273068
29,TcpNode0,1617741272531,1617741272531,1617741273038,1617741273057,1617741273060,1617741273069
44,TcpNode2,1617741272681,1617741272681,1617741272930,1617741273067,1617741273070,1617741273070
46,TcpNode2,1617741272701,1617741272701,1617741272932,1617741273071,1617741273073,1617741273073
33,TcpNode0,1617741272571,1617741272571,1617741273043,1617741273066,1617741273070,1617741273075
35,TcpNode0,1617741272591,1617741272591,1617741273045,1617741273072,1617741273075,1617741273079
37,TcpNode0,1617741272611,1617741272611,1617741273048,1617741273076,1617741273079,1617741273080
48,TcpNode2,1617741272721,1617741272721,1617741272933,1617741273078,1617741273080,1617741273081
50,TcpNode2,1617741272741,1617741272741,1617741272936,1617741273082,1617741273084,1617741273084
39,TcpNode0,1617741272631,1617741272631,1617741273051,1617741273081,1617741273086,1617741273088
52,TcpNode2,1617741272761,1617741272761,1617741272938,1617741273085,1617741273088,1617741273089
41,TcpNode0,1617741272651,1617741272651,1617741273054,1617741273089,1617741273110,1617741273112
43,TcpNode0,1617741272671,1617741272671,1617741273061,1617741273113,1617741273118,1617741273120
54,TcpNode2,1617741272781,1617741272781,1617741272940,1617741273090,1617741273120,1617741273121
45,TcpNode0,1617741272691,1617741272691,1617741273069,1617741273121,1617741273126,1617741273128
57,TcpNode2,1617741272814,1617741272814,1617741272942,1617741273123,1617741273130,1617741273130
47,TcpNode0,1617741272711,1617741272711,1617741273076,1617741273127,1617741273129,1617741273131
67,TcpNode2,1617741272950,1617741272950,1617741273003,1617741273131,1617741273133,1617741273133
68,TcpNode2,1617741272960,1617741272961,1617741273019,1617741273134,1617741273136,1617741273136
49,TcpNode0,1617741272731,1617741272731,1617741273081,1617741273132,1617741273136,1617741273137
51,TcpNode0,1617741272751,1617741272751,1617741273085,1617741273144,1617741273146,1617741273146
53,TcpNode0,1617741272771,1617741272771,1617741273089,1617741273147,1617741273149,1617741273149
55,TcpNode0,1617741272791,1617741272791,1617741273092,1617741273150,1617741273151,1617741273152
56,TcpNode0,1617741272804,1617741272804,1617741273095,1617741273152,1617741273155,1617741273155
58,TcpNode0,1617741272824,1617741272824,1617741273099,1617741273156,1617741273157,1617741273158
59,TcpNode0,1617741272870,1617741272870,1617741273102,1617741273158,1617741273160,1617741273160
60,TcpNode0,1617741272880,1617741272880,1617741273105,1617741273161,1617741273163,1617741273163
61,TcpNode0,1617741272890,1617741272890,1617741273109,1617741273164,1617741273165,1617741273166
62,TcpNode0,1617741272900,1617741272900,1617741273113,1617741273167,1617741273168,1617741273169
63,TcpNode0,1617741272910,1617741272910,1617741273117,1617741273169,1617741273171,1617741273171
64,TcpNode0,1617741272920,1617741272920,1617741273121,1617741273172,1617741273200,1617741273201
65,TcpNode0,1617741272930,1617741272930,1617741273124,1617741273202,1617741273204,1617741273204
66,TcpNode0,1617741272940,1617741272940,1617741273129,1617741273205,1617741273207,1617741273208
69,TcpNode0,1617741272970,1617741272970,1617741273132,1617741273209,1617741273212,1617741273213
70,TcpNode0,1617741273322,1617741273322,1617741273326,1617741273331,1617741273341,1617741273341
72,TcpNode0,1617741273342,1617741273342,1617741273346,1617741273348,1617741273350,1617741273351
71,TcpNode2,1617741273332,1617741273332,1617741273341,1617741273362,1617741273368,1617741273369
73,TcpNode0,1617741273360,1617741273360,1617741273364,1617741273367,1617741273371,1617741273371
74,TcpNode0,1617741273370,1617741273370,1617741273375,1617741273381,1617741273382,1617741273383
75,TcpNode0,1617741273392,1617741273392,1617741273395,1617741273397,1617741273399,1617741273399
77,TcpNode0,1617741273412,1617741273412,1617741273414,1617741273417,1617741273419,1617741273419
76,TcpNode2,1617741273402,1617741273402,1617741273405,1617741273415,1617741273419,1617741273420
78,TcpNode0,1617741273422,1617741273422,1617741273425,1617741273432,1617741273439,1617741273440
80,TcpNode0,1617741273451,1617741273451,1617741273455,1617741273457,1617741273458,1617741273459
79,TcpNode2,1617741273441,1617741273441,1617741273445,1617741273450,1617741273459,1617741273460
81,TcpNode0,1617741273461,1617741273461,1617741273464,1617741273466,1617741273470,1617741273471
82,TcpNode0,1617741273483,1617741273483,1617741273487,1617741273492,1617741273494,1617741273495
84,TcpNode0,1617741273504,1617741273504,1617741273509,1617741273516,1617741273518,1617741273521
85,TcpNode0,1617741273514,1617741273514,1617741273518,1617741273520,1617741273522,1617741273523
83,TcpNode2,1617741273493,1617741273493,1617741273498,1617741273520,1617741273522,1617741273523
86,TcpNode2,1617741273524,1617741273524,1617741273528,1617741273534,1617741273536,1617741273537
87,TcpNode0,1617741273555,1617741273555,1617741273558,1617741273560,1617741273561,1617741273562
88,TcpNode2,1617741273565,1617741273565,1617741273568,1617741273580,1617741273585,1617741273586
89,TcpNode0,1617741273580,1617741273580,1617741273585,1617741273592,1617741273595,1617741273603
90,TcpNode0,1617741273590,1617741273590,1617741273594,1617741273602,1617741273604,1617741273604
91,TcpNode0,1617741273617,1617741273617,1617741273621,1617741273633,1617741273637,1617741273638
92,TcpNode2,1617741273626,1617741273626,1617741273629,1617741273637,1617741273642,1617741273643
93,TcpNode0,1617741273636,1617741273636,1617741273640,1617741273642,1617741273646,1617741273646
94,TcpNode0,1617741273661,1617741273661,1617741273664,1617741273677,1617741273680,1617741273680
95,TcpNode2,1617741273671,1617741273671,1617741273675,1617741273680,1617741273686,1617741273686
96,TcpNode0,1617741273681,1617741273681,1617741273684,1617741273709,1617741273714,1617741273714
97,TcpNode2,1617741273696,1617741273696,1617741273699,1617741273709,1617741273715,1617741273715
98,TcpNode0,1617741273706,1617741273706,1617741273710,1617741273715,1617741273721,1617741273721
99,TcpNode2,1617741273716,1617741273716,1617741273719,1617741273722,1617741273726,1617741273727
